Row,Building,City,Height m,Height ft,Floors,Year,Status
1581,Lotte Castle Gold 102,Seoul,149.00 m,488.85 ft,39 floors,2005,completed
1582,L'Annonciade,Monaco,111.00 m,364.17 ft,35 floors,1980,completed
1583,Angel Gardens,Manchester,110.10 m,361.22 ft,35 floors,2019,completed
1584,Century Plaza Tower I,Los Angeles,174.04 m,571.01 ft,44 floors,1975,completed
1585,Tour Duo 1,Paris,180.00 m,590.55 ft,39 floors,2021,frame assembly
1586,Elysées Condominiums,Chicago,161.24 m,529.01 ft,56 floors,1973,completed
1587,Arya Residences Tower 2,Taguig,45 floors,2015,completed
1588,The Montgomery,Chicago,123.04 m,403.67 ft,28 floors,1972,completed
1589,111 West 57th Street,New York City,435.30 m,1428.15 ft,74 floors,2020,topped out
1590,Gallery 720,Saint Louis,122.23 m,401.00 ft,31 floors,1969,completed
1591,Escala Midtown,Seattle,100.59 m,330.00 ft,30 floors,2009,completed
1592,ICON at South Beach,Miami Beach,128.93 m,423.01 ft,42 floors,2004,completed
1593,Altitude Montréal,Montreal,124.00 m,406.82 ft,33 floors,2013,completed
1594,350 Mission Street,San Francisco,135.64 m,445.00 ft,27 floors,2015,completed
1595,Aon Center,Los Angeles,261.52 m,858.00 ft,62 floors,1973,completed
1596,Cosmopolitan,Seattle,100.59 m,330.00 ft,33 floors,2007,completed
1597,Laws Commercial Plaza,Hong Kong,124.75 m,409.28 ft,34 floors,1996,completed
1598,Torre Pinar,Benidorm,105.00 m,344.49 ft,30 floors,2004,completed
1599,One Federal Street,Boston,158.50 m,520.01 ft,38 floors,1975,completed
1600,Fulbright Tower,Houston,221.03 m,725.17 ft,52 floors,1982,completed
1601,28 State Street,Boston,152.40 m,500.01 ft,40 floors,1969,completed
1602,The Buckingham,Chicago,121.92 m,400.00 ft,44 floors,1982,completed
1603,400 South Tryon,Charlotte,128.02 m,420.01 ft,32 floors,1974,completed
1604,St. Martins Tower,Perth,140.00 m,459.32 ft,33 floors,1978,completed
1605,Aliye Parusa 1 korpus 3,Moscow,121.60 m,398.95 ft,31 floors,2001,completed
1606,Executive Complex,San Diego,106.68 m,350.00 ft,25 floors,1963,completed
1607,Ocean Club Condominiums - East Tower,Atlantic City,109.73 m,360.00 ft,34 floors,1984,completed
1608,17th Street Plaza,Denver,133.50 m,437.99 ft,33 floors,1982,completed
1609,SK Building,Seoul,160.33 m,526.01 ft,38 floors,2000,completed
1610,The Carlyle,Chicago,118.26 m,388.01 ft,40 floors,1967,completed
1611,International Plaza,Singapore,189.20 m,620.73 ft,50 floors,1976,completed
1612,Torre Aura Puerta de Hierro,Zapopan,113.00 m,370.73 ft,28 floors,2006,completed
1613,Arkes Family Pavilion,Chicago,101.35 m,332.50 ft,25 floors,1979,completed
1614,1600 Broadway,Denver,107.29 m,352.00 ft,26 floors,1972,completed
1615,Trump Tower,New York City,202.39 m,664.01 ft,58 floors,1983,completed
1616,Century Plaza Tower II,Los Angeles,174.04 m,571.01 ft,44 floors,1975,completed
1617,Gebouw Delftse Poort 1,Rotterdam,151.35 m,496.56 ft,41 floors,1992,completed
1618,Tour Super-Italie,Paris,107.84 m,353.81 ft,38 floors,1974,completed
1619,Woodmen Tower,Omaha,145.70 m,478.02 ft,30 floors,1969,completed
1620,HSBC Tower,New York City,121.92 m,400.00 ft,29 floors,1984,completed
1621,Noris Tower,Nuremberg,144.00 m,472.44 ft,36 floors,,canceled
1622,The Residences at the Ritz Carlton Westchester - North Tower,White Plains,147.50 m,483.92 ft,44 floors,2009,completed
1623,Fifth Third Center,Cincinnati,129.00 m,423.23 ft,32 floors,1969,completed
1624,Sun Hung Kai Centre,Hong Kong,214.51 m,703.77 ft,56 floors,1981,completed
1625,McClurg Court Center A,Chicago,131.00 m,429.79 ft,46 floors,1971,completed
1626,Tour Eve,Puteaux,109.00 m,357.61 ft,30 floors,1974,completed
1627,3150 North Lake Shore Drive,Chicago,103.33 m,339.00 ft,38 floors,1963,completed
1628,Ernst & Young Plaza,Melbourne,164.70 m,540.35 ft,40 floors,2005,completed
1629,RBC Centre,Toronto,184.90 m,606.63 ft,42 floors,2009,completed
1630,Regents Park South,Chicago,108.89 m,357.25 ft,37 floors,1972,completed
1631,MoMo,Chicago,125.14 m,410.55 ft,32 floors,2008,completed
1632,Bank of America Plaza,Charlotte,153.32 m,503.02 ft,40 floors,1974,completed
1633,30 South Wacker,Chicago,158.50 m,520.01 ft,40 floors,1983,completed
1634,New Orleans,Rotterdam,158.36 m,519.55 ft,46 floors,2010,completed
1635,Florido Tower,Vienna,113.00 m,370.73 ft,31 floors,2001,completed
1636,Marriott Marina South Tower,San Diego,110.00 m,360.90 ft,25 floors,1987,completed
1637,The Beach Club Tower 1,Hallandale Beach,134.11 m,440.01 ft,43 floors,2005,completed
1638,Atrium Centro Sol,La Vila Joiosa,102.00 m,334.65 ft,28 floors,2002,completed
1639,1670 Broadway,Denver,136.55 m,448.01 ft,34 floors,1980,completed
1640,Atrium Centro Mar,La Vila Joiosa,102.00 m,334.65 ft,28 floors,2002,completed
1641,Richardson Building,Winnipeg,124.06 m,407.00 ft,34 floors,1969,completed
1642,Herkules-Hochhaus,Cologne,102.00 m,334.65 ft,31 floors,1969,completed
1643,Stephens Building,Little Rock,111.25 m,364.99 ft,35 floors,1985,completed
1644,Capital Tower,Singapore,255.40 m,837.93 ft,52 floors,2000,completed
1645,Galleria Tower I,Houston,101.50 m,333.01 ft,25 floors,1974,completed
1646,Akoya,Miami Beach,149.96 m,492.00 ft,47 floors,2004,completed
1647,Regions Tower,Indianapolis,153.62 m,504.01 ft,36 floors,1970,completed
1648,Las Terrazas de Benidorm 1,Benidorm,101.00 m,331.36 ft,30 floors,2005,completed
1649,Aura Lofts,Zapopan,100.00 m,328.08 ft,31 floors,2007,completed
1650,Hyatt Regency McCormick Place,Chicago,104.84 m,343.96 ft,33 floors,1998,completed
1651,Pudong International Information Port,Shanghai,211.00 m,692.26 ft,40 floors,2001,completed
1652,Etisalat Tower 1,Dubai,100.00 m,328.08 ft,17 floors,1992,completed
1653,Ciro's Plaza,Shanghai,181.00 m,593.83 ft,39 floors,2002,completed
1654,353 North Clark,Chicago,190.34 m,624.47 ft,44 floors,2009,completed
1655,Cityplex Tower,Tulsa,197.51 m,648.01 ft,60 floors,1979,completed
1656,Melbourne Central Office Tower,Melbourne,211.00 m,692.26 ft,53 floors,1991,completed
1657,Mischek Tower,Vienna,108.00 m,354.33 ft,36 floors,1999,completed
1658,The Line Jatujak-Mochit,Bangkok,43 floors,2018,completed
1659,Sky Gardens Nine Elms,London,120.04 m,393.83 ft,35 floors,2017,completed
1660,Sathorn Unique Tower,Bangkok,49 floors,,interrupted
1661,One London Place,London,109.00 m,357.61 ft,24 floors,1992,completed
1662,1001 South State Street,Chicago,134.11 m,440.00 ft,40 floors,2016,completed
1663,United Center,Bangkok,187.00 m,613.52 ft,56 floors,1995,completed
1664,Gramercy Residences at Century City,Makati,250.00 m,820.21 ft,73 floors,2013,completed
1665,Millennium Residence 4,Bangkok,192.30 m,630.91 ft,51 floors,2010,completed
1666,Discovery Centre,Pasig,167.00 m,547.90 ft,40 floors,1999,completed
1667,One Shangri-La Place North Tower,Mandaluyong,227.00 m,744.75 ft,64 floors,2014,completed
1668,Alphaland Makati Place,Makati,220.00 m,721.78 ft,55 floors,2016,completed
1669,Eastwood Global Plaza,Quezon City,49 floors,2020,topped out
1670,One Central,Makati,195.00 m,639.76 ft,50 floors,2013,completed
1671,The Vision Tower,Dubai,260.00 m,853.02 ft,60 floors,2010,completed
1672,100 Bishopsgate,London,171.60 m,562.99 ft,40 floors,2019,topped out
1673,RCBC Savings Bank Corporate Center,Taguig,167.00 m,547.90 ft,34 floors,2013,completed
1674,Cyberpark 2,Quezon City,125.00 m,410.10 ft,30 floors,2018,completed
1675,One Uptown Residence,Taguig,43 floors,2018,completed
1676,Europa Tower,Vilnius,129.00 m,423.23 ft,33 floors,2004,completed
1677,Capricorn Tower,Dubai,184.52 m,605.38 ft,46 floors,2003,completed
1678,Azura,Da Nang,122.50 m,401.90 ft,35 floors,2012,completed
1679,Hilton San Francisco & Towers II,San Francisco,106.00 m,347.77 ft,22 floors,1987,completed
1680,Millennium Residence 2,Bangkok,199.30 m,653.87 ft,53 floors,2010,completed
1681,International Trade Building,Taipei,142.65 m,468.01 ft,34 floors,1990,completed
1682,Global Financial Center 1,Shenyang,568.00 m,1863.52 ft,114 floors,,interrupted
1683,Three Pacific Place,Hong Kong,182.00 m,597.11 ft,40 floors,2004,completed
1684,Changsha IFS Tower T1,Changsha,452.10 m,1483.27 ft,94 floors,2018,completed
1685,Indiana Michigan Power Center,Fort Wayne,134.72 m,442.00 ft,27 floors,1982,completed
1686,Knightsbridge Residences,Makati,209.40 m,687.01 ft,62 floors,2014,completed
1687,Eton Tower,Makati,41 floors,2016,completed
1688,Bellagio Resort & Casino,Las Vegas,154.84 m,508.01 ft,36 floors,1998,completed
1689,St Martins Tower,Sydney,133.00 m,436.35 ft,37 floors,1975,completed
1690,Quest World Square Apartments,Sydney,140.00 m,459.32 ft,42 floors,2008,completed
1691,245 Park Avenue,New York City,197.51 m,648.01 ft,44 floors,1967,completed
1692,Z-tornis B,Riga,123.00 m,403.54 ft,33 floors,2019,completed
1693,InterContinental New York Times Square,New York City,110.60 m,362.86 ft,34 floors,2010,completed
1694,420 West 42nd Street,New York City,121.90 m,399.93 ft,41 floors,2001,completed
1695,The Legacy at Millennium Park,Chicago,249.56 m,818.76 ft,73 floors,2010,completed
1696,99 Bishopsgate,London,103.60 m,339.90 ft,26 floors,1976,completed
1697,Three PNC Plaza,Pittsburgh,105.00 m,344.49 ft,23 floors,2010,completed
1698,Bank of America Plaza,Los Angeles,224.03 m,735.01 ft,55 floors,1974,completed
1699,Tour Aurore,Courbevoie,100.00 m,328.08 ft,29 floors,1970,under renovation
1700,Senckenberg-Turm,Frankfurt am Main,106.00 m,347.77 ft,26 floors,2021,frame assembly
1701,Shangri-La Hotel,Kuala Lumpur,108.54 m,356.10 ft,29 floors,1985,completed
1702,Torre Antel,Montevideo,157.60 m,517.07 ft,32 floors,2002,completed
1703,Santa Maria,Miami,158.50 m,520.01 ft,47 floors,1997,completed
1704,Westpoint Tower,Tilburg,141.60 m,464.57 ft,48 floors,2004,completed
1705,Murano Grande at Portofino,Miami Beach,124.06 m,407.00 ft,37 floors,2003,completed
1706,Phiroze Jeejeebhoy Towers,Mumbai,117.96 m,387.01 ft,29 floors,,completed
1707,High Street Centre,Singapore,116.00 m,380.58 ft,31 floors,1974,completed
1708,Grand Terrace,Hong Kong,145.57 m,477.59 ft,46 floors,2001,completed
1709,Cable TV Tower,Hong Kong,196.56 m,644.88 ft,41 floors,1993,completed
1710,Tamani Hotel Marina,Dubai,207.00 m,679.13 ft,54 floors,2006,completed
1711,Wells Street Tower,Chicago,118.14 m,387.59 ft,34 floors,2002,completed
1712,Mirabilia Palermo 1,Buenos Aires,128.77 m,422.47 ft,45 floors,2007,completed
1713,101 West Ohio,Indianapolis,109.77 m,360.13 ft,22 floors,1987,completed
1714,Denver Energy Center Tower II,Denver,108.81 m,356.99 ft,29 floors,1980,completed
1715,The Orchard Residences,Singapore,210.90 m,691.93 ft,56 floors,2010,completed
1716,Three Bentall Centre,Vancouver,121.92 m,400.00 ft,32 floors,1974,completed
1717,1801 California Street,Denver,216.11 m,709.01 ft,52 floors,1983,completed
1718,OneAmerica Tower,Indianapolis,162.46 m,533.01 ft,38 floors,1982,completed
1719,Maybank Tower,Singapore,175.26 m,575.01 ft,32 floors,2002,completed
1720,60 Broad Street,New York City,153.32 m,503.01 ft,39 floors,1961,completed
1721,Miragolf Playa 1,Benidorm,105.00 m,344.49 ft,33 floors,2005,completed
1722,Bella by Bellini,Buenos Aires,47 floors,2019,proposed
1723,The Beach Club Tower 2,Hallandale Beach,153.93 m,505.01 ft,50 floors,2006,completed
1724,UIC Building,Singapore,152.00 m,498.69 ft,40 floors,1973,completed
1725,Chase Tower,Oklahoma City,152.40 m,500.01 ft,36 floors,1971,completed
1726,One Liberty Plaza,New York City,226.47 m,743.01 ft,54 floors,1973,completed
1727,Orange County Courthouse,Orlando,126.80 m,416.00 ft,24 floors,1997,completed
1728,The Lex,Chicago,118.32 m,388.17 ft,35 floors,2010,completed
1729,120 Wall Street,New York City,121.62 m,399.01 ft,33 floors,1931,completed
1730,Kuala Lumpur University,Kuala Lumpur,124.09 m,407.12 ft,31 floors,2000,completed
1731,Republic Plaza,Denver,217.63 m,714.01 ft,56 floors,1984,completed
1732,Menara Maxis,Kuala Lumpur,212.00 m,695.54 ft,49 floors,1998,completed
1733,Nittele Tower,Tokyo,192.80 m,632.55 ft,32 floors,2003,completed
1734,2020 North Lincoln Park West,Chicago,128.32 m,421.00 ft,39 floors,1971,completed
1735,Palazzo Lombardia,Milan,161.30 m,529.20 ft,40 floors,2011,completed
1736,Exchange Place,Boston,155.45 m,510.01 ft,40 floors,1984,completed
1737,Shell Centre,Calgary,140.00 m,459.31 ft,33 floors,1977,completed
1738,181 West Madison,Chicago,207.27 m,680.01 ft,50 floors,1990,completed
1739,Ramses Hilton,Cairo,110.00 m,360.89 ft,36 floors,1980,completed
1740,Meridian Condominiums,San Diego,113.08 m,371.00 ft,28 floors,1985,completed
1741,First City Tower,Houston,201.78 m,662.01 ft,49 floors,1981,completed
1742,Millbank Tower,London,118.87 m,389.99 ft,33 floors,1963,completed
1743,Miami Tower,Miami,190.50 m,625.00 ft,47 floors,1986,completed
1744,GMAC Tower,Winston-Salem,100.59 m,330.00 ft,21 floors,1980,completed
1745,Miragolf Playa 2,Benidorm,105.00 m,344.49 ft,33 floors,2005,completed
1746,GranTokyo South Tower,Tokyo,205.00 m,672.57 ft,42 floors,2007,completed
1747,Tour Neptune,Courbevoie,117.00 m,383.86 ft,28 floors,1975,completed
1748,Wells Fargo Tower,Houston,106.99 m,351.00 ft,25 floors,1983,completed
1749,The Beach Club Tower 3,Hallandale Beach,134.11 m,440.01 ft,43 floors,2007,completed
1750,One Market Plaza Spear Tower,San Francisco,172.00 m,564.30 ft,43 floors,1976,completed
1751,Banyan Tree Residences Riverside,Bangkok,45 floors,,topped out
1752,Alvear Tower,Buenos Aires,235.00 m,771.00 ft,54 floors,,topped out
1753,Torre Empresarial Altiva,Mexico City,105.00 m,344.49 ft,22 floors,1999,completed
1754,Nishi-Shinjuku Mitsui Building,Tokyo,112.00 m,367.45 ft,27 floors,1999,completed
1755,399 Fremont Street,San Francisco,121.90 m,399.93 ft,42 floors,2016,completed
1756,Hyatt Regency Seattle,Seattle,45 floors,2018,completed
1757,Chamchuri Office Tower,Bangkok,157.00 m,515.09 ft,40 floors,2008,completed
1758,One Shangri-La Place South Tower,Mandaluyong,227.00 m,744.75 ft,64 floors,2014,completed
1759,CyberWorld Tower A,Bangkok,190.00 m,623.36 ft,56 floors,2008,completed
1760,Saitama Shintoshin MPT Building,Saitama,129.80 m,425.85 ft,28 floors,2000,completed
1761,Sofitel New York Hotel,New York City,108.63 m,356.40 ft,30 floors,2000,completed
1762,The Austonian,Austin,208.15 m,682.91 ft,56 floors,2010,completed
1763,One Market Plaza Steuart Tower,San Francisco,111.00 m,364.17 ft,27 floors,1976,completed
1764,One Corporate Center,Pasig,202.04 m,662.85 ft,54 floors,2009,completed
1765,Ecotower,Taguig,118.30 m,388.12 ft,31 floors,2013,completed
1766,Sino Plaza,Hong Kong,185.00 m,606.96 ft,38 floors,1992,completed
1767,2 Southbank Boulevard,Melbourne,160.81 m,527.59 ft,40 floors,2005,completed
1768,The Residences at Westin Manila Sonata Place,Mandaluyong,51 floors,,frame assembly
1769,Shangri-La Hotel,Hong Kong,213.31 m,699.84 ft,57 floors,1991,completed
1770,The D,Las Vegas,121.92 m,400.00 ft,34 floors,1979,completed
1771,Capital One Tower,Tysons,143.26 m,470.00 ft,33 floors,2018,completed
1772,West Tower at One Serendra,Taguig,50 floors,2015,completed
1773,Weston Centre,San Antonio,135.33 m,444.01 ft,32 floors,1989,completed
1774,East Tower at One Serendra,Taguig,41 floors,2012,completed
1775,Lotte Castle Gold 101,Seoul,149.00 m,488.85 ft,39 floors,2005,completed
1776,Four Seasons Private Residences Bangkok,Bangkok,299.50 m,982.61 ft,73 floors,2019,completed
1777,US Bank Tower,Denver,118.57 m,389.01 ft,26 floors,1975,completed
1778,Hochhaus am Hauptbahnhof,Frankfurt am Main,100.00 m,328.08 ft,19 floors,,canceled
1779,Kettering Tower,Dayton,123.55 m,405.33 ft,30 floors,1971,completed
1780,Anchor Skysuites,Manila,190.60 m,625.33 ft,53 floors,2015,completed
1781,Price Waterhouse Coopers,Sydney,126.00 m,413.39 ft,32 floors,1999,completed
1782,Salesforce Tower,Indianapolis,213.67 m,701.01 ft,49 floors,1990,completed
1783,600 Lake Shore Drive South Tower,Chicago,156.36 m,513.01 ft,47 floors,2009,completed
1784,Jeddah Tower,Jeddah,1007.00 m,3303.81 ft,167 floors,2021,frame assembly
1785,Otis Test Tower,Bristol,116.74 m,383.01 ft,29 floors,1987,completed
1786,22 Bishopsgate,London,278.20 m,912.73 ft,62 floors,2020,completed
1787,East Gallery Place,Taguig,168.70 m,553.48 ft,51 floors,,topped out
1788,One PNC Plaza,Pittsburgh,129.24 m,424.01 ft,30 floors,1972,completed
1789,US Bank Center,Phoenix,124.06 m,407.00 ft,31 floors,1976,completed
1790,Liberty Tower,South Bend,101.20 m,332.00 ft,25 floors,1971,completed
1791,Ha'Shachar Tower,Tel Aviv,200.00 m,656.17 ft,53 floors,2017,completed
1792,The Parkshore,Chicago,169.47 m,556.01 ft,56 floors,1991,completed
1793,Hyatt Regency Dubai,Dubai,100.00 m,328.08 ft,32 floors,1980,completed
1794,Tiara Condominiums,Riviera Beach,42 floors,1978,under renovation
1795,101 Park Avenue,New York City,191.72 m,629.01 ft,49 floors,1982,completed
1796,Marina Heights Tower,Dubai,208.40 m,683.73 ft,55 floors,2006,completed
1797,McClurg Court Center B,Chicago,131.00 m,429.79 ft,46 floors,1971,completed
1798,1818 Market Street,Philadelphia,152.40 m,500.00 ft,40 floors,1974,completed
1799,PNC Building,Troy,105.56 m,346.34 ft,25 floors,1975,completed
1800,East River Tower Apartments,New York City,100.00 m,328.08 ft,33 floors,1971,completed
1801,Prudential Tower,Boston,228.60 m,750.00 ft,52 floors,1964,completed
1802,Résidences Antoine et Cléopatre,Paris,103.94 m,341.00 ft,37 floors,1969,completed
1803,Hyatt Regency Vancouver,Vancouver,109.40 m,358.92 ft,35 floors,1973,completed
1804,One Westlake Park,Houston,116.44 m,382.00 ft,28 floors,1982,completed
1805,One Tampa City Center,Tampa,163.68 m,537.01 ft,38 floors,1981,completed
1806,Mandarin Oriental Tower Chicago,Chicago,283.47 m,930.01 ft,65 floors,2010,canceled
1807,One Allen Center,Houston,137.77 m,452.00 ft,34 floors,1972,completed
1808,1010 Common,New Orleans,133.50 m,438.01 ft,31 floors,1970,completed
1809,The Waverly at South Beach,Miami Beach,109.02 m,357.66 ft,36 floors,2001,completed
1810,Centrum LIM,Warsaw,140.00 m,459.32 ft,43 floors,1989,completed
1811,Park Belvedere Condominiums,New York City,105.46 m,346.00 ft,34 floors,1985,completed
1812,One Financial Plaza,Hartford,102.11 m,335.00 ft,26 floors,1975,completed
1813,Two Shell Plaza,Houston,103.94 m,341.00 ft,26 floors,1972,completed
1814,Pentominium,Dubai,516.00 m,1692.91 ft,122 floors,,interrupted
1815,Penn Mutual Tower,Philadelphia,114.30 m,375.00 ft,22 floors,1975,completed
1816,Centerpoint Energy Plaza,Houston,225.86 m,741.01 ft,47 floors,1974,completed
1817,KLI 63 Building,Seoul,249.00 m,816.93 ft,60 floors,1985,completed
1818,Edificio Colón,Barcelona,110.00 m,360.89 ft,28 floors,1970,completed
1819,Centre Square II,Philadelphia,149.35 m,490.01 ft,40 floors,1973,completed
1820,Liberty Court,New York City,135.64 m,445.01 ft,44 floors,1987,completed
1821,Tour Adria,Courbevoie,155.00 m,508.53 ft,40 floors,2002,completed
1822,Regents Park North,Chicago,104.18 m,341.79 ft,36 floors,1974,completed
1823,10 South Wacker,Chicago,158.50 m,520.01 ft,40 floors,1987,completed
1824,East Point,Chicago,119.18 m,391.00 ft,43 floors,1967,completed
1825,Michigan Plaza North,Chicago,102.11 m,335.00 ft,25 floors,1981,completed
1826,Shaw Tower,Singapore,134.00 m,439.63 ft,34 floors,1974,completed
1827,The Pavilion Residences Tower 2,Kuala Lumpur,44 floors,,completed
1828,Element,New York City,115.83 m,380.00 ft,33 floors,2008,completed
1829,First Tower,Krasnoyarsk,118.00 m,387.14 ft,27 floors,2009,completed
1830,Ocean Tower II,Bangkok,40 floors,,completed
1831,Panorama Santa Fe,Mexico City,119.80 m,393.04 ft,35 floors,2005,completed
1832,Torre Saverio,Naples,118.00 m,387.15 ft,36 floors,1994,completed
1833,Intraco I,Warsaw,107.00 m,351.05 ft,39 floors,1975,completed
1834,Cadillac Fairview Tower,Toronto,142.00 m,465.88 ft,36 floors,1981,completed
1835,Givatayim Park Tower,,102.00 m,334.65 ft,31 floors,2011,completed
1836,River City Apartments,Brisbane,124.00 m,406.82 ft,39 floors,2003,completed
1837,Tour Chéops,Paris,100.89 m,331.00 ft,35 floors,1974,completed
1838,Acueducto Tres60 Torre Sur,Zapopan,109.00 m,357.61 ft,29 floors,2009,completed
1839,Western Electric Building,New York City,119.79 m,393.01 ft,31 floors,1961,completed
1840,Waterstadtoren,Rotterdam,108.88 m,357.22 ft,37 floors,2004,completed
1841,Market Tower,Indianapolis,128.17 m,420.51 ft,32 floors,1988,completed
1842,PNC Bank Building,Philadelphia,149.66 m,491.01 ft,40 floors,1983,completed
1843,The Residences at the Ritz-Carlton Westchester - South Tower,White Plains,147.50 m,483.92 ft,44 floors,2008,completed
1844,Buckhead Grand,Atlanta,137.47 m,451.00 ft,38 floors,2004,completed
1845,Mid Town Tower,Tokyo,247.90 m,813.32 ft,54 floors,2007,completed
1846,Trump Palace Condominiums,New York City,189.89 m,623.00 ft,54 floors,1991,completed
1847,Banerj,Rio de Janeiro,115.12 m,377.69 ft,34 floors,1966,completed
1848,Ministerio de Comercio,Madrid,100.00 m,328.08 ft,25 floors,1979,completed
1849,Denver Place South Tower,Denver,126.80 m,416.00 ft,34 floors,1981,completed
1850,360 Main,Winnipeg,117.00 m,383.85 ft,31 floors,1979,completed
1851,One Oxford Centre,Pittsburgh,187.45 m,615.01 ft,45 floors,1983,completed
1852,225 Franklin Street,Boston,145.39 m,477.00 ft,33 floors,1966,completed
1853,University Club Towers,Tulsa,115.00 m,377.29 ft,32 floors,1966,completed
1854,1214 Fifth Avenue,New York City,156.36 m,512.99 ft,50 floors,2012,completed
1855,Torre JV II,San Andrés Cholula,100.00 m,328.08 ft,25 floors,2005,completed
1856,Torre Norte,São Paulo,158.00 m,518.37 ft,38 floors,1999,completed
1857,Brickell World Plaza,Miami,147.53 m,484.01 ft,40 floors,2011,completed
1858,BNY Mellon Center,Philadelphia,241.41 m,792.01 ft,54 floors,1990,completed
1859,Ayandeh Bank Teheran,Tehran,125.00 m,410.10 ft,26 floors,2017,completed
1860,707 17th Street,Denver,159.11 m,522.01 ft,42 floors,1981,completed
1861,400 Poydras Tower,New Orleans,134.72 m,442.00 ft,32 floors,1983,completed
1862,Plaza Tower,New Orleans,161.85 m,531.01 ft,45 floors,1969,completed
1863,M Silom,Bangkok,198.00 m,649.61 ft,53 floors,,completed
1864,Millennium Residence 3,Bangkok,199.30 m,653.87 ft,53 floors,2010,completed
1865,President Enterprise Corporation Tower,Taipei,154.00 m,505.25 ft,30 floors,2003,completed
1866,Manhattan Heights,Hong Kong,185.00 m,606.96 ft,55 floors,2000,completed
1867,Hang Seng Bank Building,Hong Kong,137.00 m,449.48 ft,27 floors,1991,completed
1868,Torre Planetarium,Panama City,343.00 m,1125.33 ft,92 floors,,canceled
1869,Bank of America Plaza,Dallas,280.72 m,921.00 ft,72 floors,1985,completed
1870,Uptown Ritz Residence,Taguig,45 floors,2018,completed
1871,One San Miguel Avenue,Pasig,182.91 m,600.10 ft,54 floors,2001,completed
1872,The Dominick,New York City,138.38 m,454.01 ft,46 floors,2009,completed
1873,William R. Snodgrass Tennessee Tower,Nashville,137.77 m,452.00 ft,31 floors,1970,completed
1874,Tour CFC,Casablanca,122.00 m,400.26 ft,26 floors,2018,completed
1875,8 Canada Square,London,199.51 m,654.56 ft,45 floors,2002,completed
1876,McKinley Park Residences,Taguig,43 floors,2010,completed
1877,Four Seasons Hotel,New York City,207.88 m,682.01 ft,52 floors,1993,completed
1878,Noble Place,Manila,170.00 m,557.74 ft,47 floors,2018,completed
1879,William S. Moorhead Federal Building,Pittsburgh,103.63 m,340.00 ft,23 floors,1964,completed
1880,Simmons Tower,Little Rock,166.42 m,546.01 ft,40 floors,1986,completed
1881,The Platinum,New York City,151.18 m,496.01 ft,43 floors,2008,completed
1882,Changsha IFS Tower T2,Changsha,308.00 m,1010.50 ft,63 floors,2018,completed
1883,Rufino Pacific Tower,Makati,162.03 m,531.60 ft,41 floors,1996,completed
1884,Rizal Tower,Makati,155.90 m,511.48 ft,49 floors,2000,completed
1885,Thai Wah Tower II,Bangkok,194.00 m,636.48 ft,60 floors,1995,completed
1886,CyberWorld Tower B,Bangkok,165.00 m,541.34 ft,51 floors,2008,completed
1887,Monte Carlo Resort Hotel & Casino,Las Vegas,109.73 m,360.00 ft,32 floors,1996,removed
1888,The Rise Makati,Makati,210.00 m,688.98 ft,63 floors,2019,completed
1889,City Point Tower 1,New York City,110.03 m,361.00 ft,27 floors,2015,completed
1890,Hochhaus Hessische Landesbank,Frankfurt am Main,127.00 m,416.67 ft,25 floors,1976,removed
1891,7 Bryant Park,New York City,137.16 m,450.00 ft,28 floors,2015,completed
1892,City-County Building,Indianapolis,113.46 m,372.25 ft,28 floors,1962,completed
1893,One Nashville Place,Nashville,109.43 m,359.01 ft,23 floors,1985,completed
1894,Oceanic Plaza,Vancouver,104.24 m,342.00 ft,26 floors,1977,completed
1895,Bank of America Plaza,Tampa,175.87 m,577.01 ft,42 floors,1986,completed
1896,Park Inn Berlin Alexanderplatz,Berlin,125.00 m,410.10 ft,41 floors,1970,completed
1897,1700 East 56th Street,Chicago,114.61 m,376.00 ft,38 floors,1968,completed
1898,One Churchill Place,London,156.34 m,512.93 ft,32 floors,2004,completed
1899,Carnegie Hall Tower,New York City,230.74 m,757.01 ft,60 floors,1991,completed
1900,First Canadian Place,Toronto,298.10 m,978.01 ft,72 floors,1976,under renovation
1901,The Chandler,Chicago,118.47 m,388.67 ft,36 floors,2008,completed
1902,The Cullinan I,Hong Kong,269.92 m,885.55 ft,68 floors,2008,completed
1903,Aspire at Nuvo City,Quezon City,178.00 m,583.99 ft,49 floors,2012,completed
1904,Kudamm Karree,Berlin,102.00 m,334.65 ft,23 floors,1974,completed
1905,QuayWest Tower I,Vancouver,103.02 m,338.01 ft,35 floors,2002,completed
1906,Beni Beach,Benidorm,110.00 m,360.89 ft,35 floors,1996,completed
1907,Palácio da Economia,Rio de Janeiro,110.30 m,361.88 ft,32 floors,1976,completed
1908,The Cullinan II,Hong Kong,269.92 m,885.55 ft,68 floors,2008,completed
1909,1706 Rittenhouse Square,Philadelphia,122.00 m,400.26 ft,31 floors,2010,completed
1910,Millennium Tower,Vienna,202.00 m,662.73 ft,51 floors,1999,completed
1911,Cathedral Place,Vancouver,116.44 m,382.02 ft,23 floors,1991,completed
1912,Baiyoke Tower II,Bangkok,304.00 m,997.37 ft,85 floors,1997,completed
1913,Residencial in Tempo,Benidorm,200.00 m,656.17 ft,52 floors,2020,topped out
1914,Edificio Don Jorge,Benidorm,124.00 m,406.82 ft,36 floors,2008,completed
