Row,Building,City,Height m,Height ft,Floors,Year,Status
77,MahaNakhon,Bangkok,314.20 m,1030.84 ft,75 floors,2016,completed
78,OmniTurm,Frankfurt am Main,190.00 m,623.36 ft,46 floors,2019,completed
79,Ping An Finance Center,Shenzhen,599.05 m,1965.39 ft,115 floors,2017,completed
80,Guardian Building,Detroit,151.03 m,495.51 ft,40 floors,1929,completed
81,Moscow State University,Moscow,240.00 m,787.40 ft,36 floors,1953,completed
82,Lakhta Center,Saint Petersburg,462.50 m,1517.39 ft,86 floors,2019,completed
83,Square3 - THE:SQUARE³,Berlin,118.00 m,387.14 ft,33 floors,,proposed
84,Court Chambers Building,New York City,121.62 m,399.00 ft,30 floors,1927,completed
85,Waves,Mumbai,80 floors,,canceled
86,Seocho Garak Tower East,Seoul,130.10 m,426.84 ft,24 floors,,completed
87,Museum Plaza,Louisville,212.02 m,695.59 ft,61 floors,,canceled
88,70 Pine,New York City,290.17 m,952.01 ft,66 floors,1932,completed
89,Tomorrow Square,Shanghai,284.60 m,933.73 ft,55 floors,2003,completed
90,Absolute World 2,Mississauga,157.90 m,518.04 ft,50 floors,2011,completed
91,KKR2 Tower,Kuala Lumpur,170.90 m,560.70 ft,37 floors,2014,completed
92,Al Faisaliyah Center,Riyadh,266.87 m,875.54 ft,30 floors,2000,completed
93,53 West 53rd,New York City,320.04 m,1050.00 ft,73 floors,2019,completed
94,Nextower,Frankfurt am Main,136.00 m,446.19 ft,35 floors,2009,completed
95,Trump International Hotel & Tower,Chicago,423.21 m,1388.50 ft,96 floors,2009,completed
96,Gran Torre Santiago,Santiago de Chile,300.00 m,984.25 ft,64 floors,2014,completed
97,Taipei 101,Taipei,509.20 m,1670.60 ft,101 floors,2004,completed
98,Emirates Office Tower,Dubai,354.60 m,1163.38 ft,54 floors,2000,completed
99,Grand Lisboa,Macau,261.00 m,856.31 ft,47 floors,2008,completed
100,Jumeirah Emirates Towers Hotel,Dubai,309.00 m,1013.78 ft,56 floors,2000,completed
101,20 Fenchurch Street,London,160.12 m,525.33 ft,38 floors,2014,completed
102,Los Angeles City Hall,Los Angeles,138.38 m,454.01 ft,27 floors,1928,completed
103,W-43,Vancouver,121.44 m,398.44 ft,40 floors,2009,completed
104,Vista Tower,Chicago,360.96 m,1184.25 ft,98 floors,2020,topped out
105,Palacio Barolo,Buenos Aires,100.00 m,328.08 ft,18 floors,1923,completed
106,Roppongi Grand Tower,Tokyo,230.00 m,754.59 ft,40 floors,2016,completed
107,80 South Street,New York City,254.51 m,835.01 ft,56 floors,,canceled
108,Newton Suites,Singapore,120.00 m,393.70 ft,36 floors,2007,completed
109,Seoul Light DMC Tower,Seoul,640.40 m,2101.05 ft,133 floors,2017,proposed
110,The Waltz,Taguig,43 floors,,canceled
111,Willis Tower,Chicago,442.14 m,1450.60 ft,108 floors,1974,completed
112,Bank of America Tower,New York City,365.76 m,1200.01 ft,54 floors,2009,completed
113,Innovationen,Stockholm,120.45 m,395.18 ft,38 floors,2018,completed
114,One World Trade Center,New York City,418.69 m,1373.67 ft,94 floors,2014,completed
115,One Chase Manhattan Plaza,New York City,247.81 m,813.01 ft,60 floors,1961,completed
116,Post Tower,Bonn,162.48 m,533.07 ft,42 floors,2002,completed
117,Grand Tower,Frankfurt am Main,180.00 m,590.55 ft,51 floors,2020,completed
118,Japan Center,Frankfurt am Main,115.00 m,377.30 ft,27 floors,1996,completed
119,Petronas Tower 1,Kuala Lumpur,451.90 m,1482.62 ft,88 floors,1998,completed
120,United Nations Secretariat Building,New York City,154.30 m,506.23 ft,39 floors,1952,completed
121,Torre Diagonal Zero Zero,Barcelona,110.00 m,360.89 ft,25 floors,2011,completed
122,Tour Majunga,Puteaux,194.00 m,636.48 ft,42 floors,2014,completed
123,Burj Al Arab,Dubai,320.96 m,1053.01 ft,60 floors,1999,completed
124,V Tower,Prague,104.00 m,341.21 ft,31 floors,2018,completed
125,The Index,Dubai,326.00 m,1069.55 ft,80 floors,2010,completed
126,The Center,Hong Kong,346.00 m,1135.17 ft,73 floors,1998,completed
127,Vita,Tysons,106.68 m,350.00 ft,30 floors,2015,completed
128,Shanghai World Financial Center,Shanghai,492.00 m,1614.17 ft,101 floors,2008,completed
129,Ideo Q Chula Samyan,Bangkok,151.00 m,495.41 ft,40 floors,2016,completed
130,LeVeque Tower,Columbus,169.32 m,555.51 ft,47 floors,1927,completed
131,Hypo-Haus,Munich,113.67 m,372.93 ft,27 floors,1981,completed
132,Carlyle Apartments,New York City,129.85 m,426.00 ft,38 floors,1931,completed
133,The Residences at the Alcoa Building,Pittsburgh,124.97 m,410.01 ft,30 floors,1953,completed
134,Eight Spruce Street,New York City,265.18 m,870.01 ft,76 floors,2011,completed
135,30 Rockefeller Plaza,New York City,259.08 m,850.00 ft,69 floors,1933,completed
136,Waldorf Astoria Las Vegas,Las Vegas,164.29 m,539.01 ft,47 floors,2009,completed
137,InterContinental Chicago Hotel,Chicago,143.56 m,471.01 ft,42 floors,1929,completed
138,Comcast Technology Center,Philadelphia,341.68 m,1121.00 ft,59 floors,2018,completed
139,PS100,Singapore,206.60 m,677.82 ft,27 floors,2016,completed
140,Willoughby Tower,Chicago,133.50 m,438.01 ft,38 floors,1929,completed
141,Baltimore Wharf Building 1,London,149.10 m,489.17 ft,46 floors,2017,completed
142,Westin Bonaventure,Los Angeles,118.26 m,388.01 ft,35 floors,1976,completed
143,FOUR Frankfurt - Tower 1,Frankfurt am Main,233.00 m,764.44 ft,59 floors,2025,foundation work
144,Milwaukee City Hall,Milwaukee,107.60 m,353.01 ft,15 floors,1895,completed
145,Tribunal de Grande Instance,Paris,160.00 m,524.93 ft,,2017,completed
146,BMW Building,Munich,101.00 m,331.36 ft,21 floors,1972,completed
147,W Minneapolis - The Foshay,Minneapolis,136.55 m,448.01 ft,32 floors,1929,completed
148,Veer Towers West,Las Vegas,137.00 m,449.48 ft,36 floors,2009,completed
149,Veer Towers East,Las Vegas,137.00 m,449.48 ft,36 floors,2009,completed
150,Aliye Parusa 4,Moscow,175.62 m,576.18 ft,48 floors,2003,completed
151,1 Times Square,New York City,110.64 m,362.99 ft,25 floors,1905,completed
152,Woolworth Building,New York City,241.40 m,792.00 ft,59 floors,1913,under renovation
153,Victoria Tower,Stockholm,117.60 m,385.83 ft,33 floors,2011,completed
154,Da Nang City Administrative Centre,Da Nang,166.80 m,547.24 ft,34 floors,2014,completed
155,Trianon,Frankfurt am Main,186.00 m,610.24 ft,47 floors,1993,completed
156,One Peking Road,Hong Kong,159.98 m,524.88 ft,30 floors,2003,completed
157,Hochhaus Neue Donau,Vienna,150.00 m,492.13 ft,34 floors,2001,completed
158,Tour First,Courbevoie,231.00 m,757.87 ft,56 floors,2011,completed
159,Key Tower,Cleveland,288.65 m,947.01 ft,57 floors,1991,completed
160,International Commerce Centre,Hong Kong,484.00 m,1587.93 ft,108 floors,2010,completed
161,Deutsche Bank II,Frankfurt am Main,155.00 m,508.53 ft,38 floors,1984,removed
162,Westhafen Tower,Frankfurt am Main,112.28 m,368.37 ft,31 floors,2003,completed
163,Toren,New York City,130.30 m,427.49 ft,38 floors,2009,completed
164,Gallileo,Frankfurt am Main,136.00 m,446.19 ft,38 floors,2002,completed
165,432 Park Avenue,New York City,425.50 m,1396.00 ft,88 floors,2016,completed
166,Mather Tower,Chicago,158.80 m,521.00 ft,41 floors,1928,completed
167,Eureka Tower,Melbourne,297.28 m,975.33 ft,91 floors,2006,completed
168,Bosco Verticale Torre E,Milan,116.50 m,382.22 ft,27 floors,2014,completed
169,River Point,Chicago,213.36 m,700.01 ft,52 floors,2016,completed
170,LPM Apartments,Minneapolis,114.10 m,374.33 ft,36 floors,2014,completed
171,Torre BankBoston,Buenos Aires,137.16 m,450.00 ft,35 floors,2001,completed
172,Southeast Financial Center,Miami,232.80 m,763.78 ft,55 floors,1984,completed
173,Wrigley Building,Chicago,133.51 m,438.02 ft,27 floors,1922,completed
174,Hotel Ukraine,Moscow,206.00 m,675.85 ft,34 floors,1955,completed
175,China Steel Corporation Headquarters,Kaohsiung,135.00 m,442.91 ft,29 floors,2012,completed
176,Buffalo City Hall,Buffalo,115.22 m,378.01 ft,32 floors,1931,completed
177,The San Remo,New York City,121.92 m,400.00 ft,27 floors,1930,completed
178,Rose Rock International Finance Center,Tianjin,588.00 m,1929.13 ft,,,proposed
179,Manhattan Municipal Building,New York City,176.79 m,580.01 ft,34 floors,1914,completed
180,Inland Steel Building,Chicago,101.30 m,332.36 ft,19 floors,1958,completed
181,ITT-American Building,New York City,156.06 m,512.00 ft,40 floors,1967,completed
182,Residence Antilia,Mumbai,173.00 m,567.59 ft,24 floors,2010,completed
183,Capital Fort A,Sofia,125.80 m,412.73 ft,28 floors,2014,completed
184,Oakbrook Terrace Tower,Oakbrook Terrace,127.41 m,418.01 ft,31 floors,1986,completed
